ab1,ab2,weight
5545,952,0.254022217519685
5545,707,0.257222456157963
2276,2393,0.256418471501096
2276,2387,0.242755027017172
2276,3477,0.245886157663632
3296,5582,0.253153598939917
3296,3047,0.254316214205398
3296,3993,0.286363516747893
3296,3388,0.313823892883177
3296,3265,0.300614372431463
3296,4258,0.243084645362392
3296,4400,0.271255094349434
3296,5237,0.27887763211335
5008,2739,0.32317617124065
5008,5018,0.272753612422224
402,2393,0.245579797812868
2345,3388,0.293842433832793
2345,5258,0.24150817881312
2345,2438,0.243914821869572
2345,2340,0.262720868918266
2345,3402,0.326603549381023
2345,952,0.29189780197403
2393,5598,0.245388535364445
2393,3388,0.248294236634387
2393,2281,0.249342475136535
2393,3402,0.265157792984172
2393,952,0.249305888489119
2393,5237,0.254960478308624
605,3993,0.265605335679999
605,4400,0.244155403118836
5582,3265,0.247162334532137
2004,1191,0.330045471538608
2004,50,0.241204377873771
2004,65,0.282169700165892
2902,3388,0.299116397636624
2902,2438,0.242747386891646
2902,3402,0.24358696805673
2902,3477,0.248513749715963
4302,2236,0.252610316840377
4302,952,0.247282858303372
2399,2387,0.266077331223132
3047,5383,0.27835548361243
3047,2438,0.255290672526275
1218,2387,0.250840150900025
5480,4748,0.251245581816983
5480,2780,0.277650616773771
5598,5237,0.253030286999878
5383,5237,0.258446738950637
4748,4105,0.241262301335677
4748,4258,0.254722008802618
4748,952,0.259780853975499
4748,5237,0.256945827483233
3993,3388,0.2403236865849
3993,4400,0.261939030167109
2047,3402,0.262878877935785
270,5018,0.266595902724902
1191,4229,0.248363744332652
3691,3669,0.263521088861102
2387,2780,0.25683087031403
4105,5258,0.249210821604417
4105,3669,0.241279753784144
3388,2438,0.267894310104607
3388,3402,0.281062755714767
3388,952,0.310196450135451
3388,5237,0.255698794363468
2322,2438,0.262519220059663
3265,3251,0.606867249450539
3265,2438,0.260329776908968
5258,4400,0.259464441004315
2281,1129,0.268342444670203
2281,4400,0.261621648709586
2281,5237,0.265321346047539
50,3477,0.241586906505593
4258,4293,0.274929057688747
4258,1038,0.257634282973392
4229,2394,0.267898372753626
1111,1117,0.313780544131656
2780,2011,0.240491131491062
3710,3669,0.254927248447817
3251,2438,0.279504016884528
4971,3402,0.241475163108524
5132,65,0.273197725677749
39,1199,0.799987192503356
2340,952,0.260067620501601
3402,5237,0.264119870882096
2777,3477,0.254731855522389
952,3477,0.253672748292707
952,5237,0.247404249075846
2135,5237,0.240282641055268
